base_word,rhyme_candidate,score
to,arnoto,0.9
blok,roztok,0.95
blok,czok,1.0
bok,tobok,0.95
bok,czworobok,0.9
bom,feldszlangom,0.9
bom,jedynaczkom,0.85
cios,wznios,1.0
cios,zacios,0.95
dol,owerol,0.9
dol,hipergol,0.9
dającą,inscenizującą,0.68
dającą,udrożniającą,0.9
drażniącą,bebeszącą,0.55
drażniącą,totalizującą,0.45
grającą,łukującą,0.78
grającą,dosztukowującą,0.68
hańbiącą,clącą,0.55
hańbiącą,tłukącą,0.6
mającą,gulgocącą,0.62
mającą,analizującą,0.68
sapiącą,uskrzydlającą,0.53
sapiącą,wątlicą,0.5
jarzącą,bielicującą,0.53
jarzącą,zwrócą,0.45
karzącą,ostwicą,0.5
karzącą,hamletyzującą,0.47
marzącą,paćkającą,0.57
marzącą,gmatwającą,0.57
pachnącą,samocentrującą,0.47
pachnącą,cierpnącą,0.75
palącą,tuszącą,0.67
palącą,bulącą,0.83
pasącą,tarzającą,0.62
pasącą,transumującą,0.57
świadczącą,tolerującą,0.48
świadczącą,turbującą,0.53
tańczącą,biczującą,0.55
tańczącą,kuchcą,0.45
walącą,immobilizującą,0.47
walącą,głębocznicą,0.45
walczącą,fuszerującą,0.5
walczącą,zablokowującą,0.45
ważącą,gulgocą,0.5
ważącą,chronometrującą,0.52
gałązką,kafryjską,0.5
gałązką,cenzorką,0.5
nastąpią,zachlapią,0.5
nastąpią,cynkotypią,0.45
nawiązką,kajdaniarską,0.45
nawiązką,goplańską,0.5
urojeniach,dachowaniach,0.64
urojeniach,alaliach,0.52
odpowiedziach,kompresorniach,0.55
odpowiedziach,temperowaniach,0.5
taboretach,lolitach,0.59
taboretach,landtingach,0.52
czarodziejach,trójmiastach,0.51
czarodziejach,żelkach,0.46
zakończeniach,geoskopiach,0.56
zakończeniach,skoszlawieniach,0.67
zamroczeniach,szlichtowaniach,0.61
zamroczeniach,unieważnianiach,0.56
zaproszeniach,saneczkowaniach,0.56
zaproszeniach,groszkowaniach,0.61
wypowiedziach,ciepłowniach,0.51
wypowiedziach,obdrapywaniach,0.51
dyskotekach,kancelaryzmach,0.51
dyskotekach,judoczkach,0.57
bibliotekach,mikrosekundach,0.51
bibliotekach,buglehornach,0.56
opowieściach,turniach,0.46
opowieściach,radiach,0.46
nabożeństwach,bursztyniarkach,0.55
nabożeństwach,druzach,0.45
pantofelkach,montażowcach,0.56
pantofelkach,alegoryjkach,0.56
ukąszeniach,udaniach,0.57
ukąszeniach,kołodziejniach,0.62
bohaterach,ślizgaczach,0.52
bohaterach,awanturynach,0.52
charakterach,główkarzach,0.51
charakterach,lottomatach,0.56
kawalerach,epilepsjach,0.57
kawalerach,larrikinach,0.57
parapetach,teraflopach,0.57
parapetach,upadach,0.52
toaletach,tokowikach,0.58
toaletach,blagierkach,0.53
doświadczeniach,asfaltowniach,0.59
doświadczeniach,liliowościach,0.55
bajkach,tautacyzmach,0.53
bajkach,bukwach,0.62
bankach,bipryzmatach,0.53
bankach,gnostykach,0.7
barkach,flagellantkach,0.65
barkach,emanatyzmach,0.47
blankach,fizzach,0.62
blankach,jużynamijabcokach,0.5
blaskach,kablowcach,0.57
blaskach,fraucymerach,0.53
ciastkach,gnomologach,0.48
ciastkach,komensalizmach,0.43
czapkach,departamentach,0.47
czapkach,monseigneurach,0.47
czaszkach,naddzierżawcach,0.5
czaszkach,dealkilacjach,0.45
drgawkach,izobutenach,0.47
drgawkach,gloriozach,0.57
flaszkach,trikolorach,0.5
flaszkach,mirunach,0.55
fraszkach,hararejczykach,0.55
fraszkach,telegrach,0.55
gankach,egotystkach,0.65
gankach,balzakistach,0.53
garnkach,histaminach,0.5
garnkach,falbankach,0.75
gwarkach,zabarwicach,0.53
gwarkach,fotometrach,0.53
karkach,castroizmach,0.53
karkach,obozach,0.57
kartkach,awiatykach,0.6
kartkach,cierniarach,0.55
klatkach,palteczkach,0.7
klatkach,frycówkach,0.7
kratkach,stereoizomerach,0.38
kratkach,żarliwcach,0.57
krzaczkach,balangowiczach,0.45
krzaczkach,aniołach,0.55
lalkach,libertalizmach,0.47
lalkach,guzach,0.62
oratorium,hypothecium,0.5
oratorium,astrolabium,0.5
sanatorium,antependium,0.5
sanatorium,aksopodium,0.5
terytorium,atrium,0.48
terytorium,tabularium,0.58
dormitorium,lapidarium,0.57
dormitorium,aposelenium,0.45
pandemonium,foricoenium,0.52
pandemonium,akcesorium,0.5
antidotum,unicum,0.45
antidotum,kwantum,0.47
kolokwium,adulterium,0.45
kolokwium,terytorium,0.45
curiosum,rozum,0.45
curiosum,garum,0.45
verborum,kalichloricum,0.4
verborum,residuum,0.45
kostium,epithelium,0.4
kostium,fragmobazydium,0.35
opium,endometrium,0.4
opium,laboratorium,0.35
podium,gonopodium,0.9
podium,odium,1.0
monstrum,larum,0.6
monstrum,locum,0.5
forum,augmentatiwum,0.35
forum,minimum,0.45
lokum,darum,0.5
lokum,barycentrum,0.4
poszum,rozum,0.67
